_id,year_month,year,month,month_name,harmonize_grp,hmn_grp_name_export,items_baht_amnt_export
155,2021-02-01T00:00:00,2021,2,February,39,พลาสติกและของที่ทำด้วยพลาสติก,35457316421
195,2020-12-01T00:00:00,2020,12,December,21,ของปรุงแต่งเบ็ดเตล็ดที่บริโภคได้,6372280009
156,2021-02-01T00:00:00,2021,2,February,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,19047442062
157,2021-02-01T00:00:00,2021,2,February,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,15598123262
158,2021-02-01T00:00:00,2021,2,February,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,13918760532
159,2021-02-01T00:00:00,2021,2,February,29,เคมีภัณฑ์อินทรีย์,11173077124
160,2021-02-01T00:00:00,2021,2,February,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",11995039967
161,2021-02-01T00:00:00,2021,2,February,73,ของทำด้วยเหล็กหรือเหล็กกล้า,10958094385
162,2021-02-01T00:00:00,2021,2,February,10,ธัญพืช,8214087339
163,2021-02-01T00:00:00,2021,2,February,8,ผลไม้และลูกนัตที่บริโภคได้,7426142620
164,2021-02-01T00:00:00,2021,2,February,74,ทองแดงและชองทำด้วยทองแดง,7507840126
165,2021-02-01T00:00:00,2021,2,February,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,6896699068
166,2021-01-01T00:00:00,2021,1,January,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,99765932728
167,2021-01-01T00:00:00,2021,1,January,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,91783725821
168,2021-01-01T00:00:00,2021,1,January,87,ยานยนต์และส่วนประกอบ,84741807326
169,2021-01-01T00:00:00,2021,1,January,40,ยางและของทำด้วยยาง,45809814009
170,2021-01-01T00:00:00,2021,1,January,39,พลาสติกและของที่ทำด้วยพลาสติก,31000656150
171,2021-01-01T00:00:00,2021,1,January,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,17913942999
172,2021-01-01T00:00:00,2021,1,January,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,15188694830
173,2021-01-01T00:00:00,2021,1,January,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,14723188943
174,2021-01-01T00:00:00,2021,1,January,29,เคมีภัณฑ์อินทรีย์,9779179940
254,2020-08-01T00:00:00,2020,8,August,74,ทองแดงและชองทำด้วยทองแดง,5655127173
175,2021-01-01T00:00:00,2021,1,January,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",12356720944
176,2021-01-01T00:00:00,2021,1,January,73,ของทำด้วยเหล็กหรือเหล็กกล้า,10504442706
177,2021-01-01T00:00:00,2021,1,January,10,ธัญพืช,7951464401
178,2021-01-01T00:00:00,2021,1,January,8,ผลไม้และลูกนัตที่บริโภคได้,8081009112
179,2021-01-01T00:00:00,2021,1,January,74,ทองแดงและชองทำด้วยทองแดง,6843594548
180,2021-01-01T00:00:00,2021,1,January,76,อะลูมิเนียมและของทำด้วยอะลูมิเนียม,5674360284
181,2020-12-01T00:00:00,2020,12,December,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.05325E+11
182,2020-12-01T00:00:00,2020,12,December,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.01696E+11
183,2020-12-01T00:00:00,2020,12,December,87,ยานยนต์และส่วนประกอบ,66094481885
184,2020-12-01T00:00:00,2020,12,December,40,ยางและของทำด้วยยาง,47919498774
185,2020-12-01T00:00:00,2020,12,December,39,พลาสติกและของที่ทำด้วยพลาสติก,33329116159
186,2020-12-01T00:00:00,2020,12,December,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,19241080223
187,2020-12-01T00:00:00,2020,12,December,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,18318980813
188,2020-12-01T00:00:00,2020,12,December,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,14953031906
189,2020-12-01T00:00:00,2020,12,December,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",13226372400
190,2020-12-01T00:00:00,2020,12,December,29,เคมีภัณฑ์อินทรีย์,10752810239
191,2020-12-01T00:00:00,2020,12,December,73,ของทำด้วยเหล็กหรือเหล็กกล้า,10611005891
192,2020-12-01T00:00:00,2020,12,December,10,ธัญพืช,9413650494
193,2020-12-01T00:00:00,2020,12,December,8,ผลไม้และลูกนัตที่บริโภคได้,8252758462
295,2020-05-01T00:00:00,2020,5,May,29,เคมีภัณฑ์อินทรีย์,9186083496
196,2020-11-01T00:00:00,2020,11,November,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,95664034284
197,2020-11-01T00:00:00,2020,11,November,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,97846944462
198,2020-11-01T00:00:00,2020,11,November,87,ยานยนต์และส่วนประกอบ,74840807533
199,2020-11-01T00:00:00,2020,11,November,40,ยางและของทำด้วยยาง,47242795195
200,2020-11-01T00:00:00,2020,11,November,39,พลาสติกและของที่ทำด้วยพลาสติก,32061681475
201,2020-11-01T00:00:00,2020,11,November,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,20778944765
202,2020-11-01T00:00:00,2020,11,November,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,13407636344
203,2020-11-01T00:00:00,2020,11,November,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,17397868304
204,2020-11-01T00:00:00,2020,11,November,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",12844643936
205,2020-11-01T00:00:00,2020,11,November,29,เคมีภัณฑ์อินทรีย์,8495698122
206,2020-11-01T00:00:00,2020,11,November,73,ของทำด้วยเหล็กหรือเหล็กกล้า,10117564349
207,2020-11-01T00:00:00,2020,11,November,10,ธัญพืช,13169222381
208,2020-11-01T00:00:00,2020,11,November,8,ผลไม้และลูกนัตที่บริโภคได้,6660579510
209,2020-11-01T00:00:00,2020,11,November,74,ทองแดงและชองทำด้วยทองแดง,6227105688
210,2020-11-01T00:00:00,2020,11,November,21,ของปรุงแต่งเบ็ดเตล็ดที่บริโภคได้,6465240212
211,2020-10-01T00:00:00,2020,10,October,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.03823E+11
212,2020-10-01T00:00:00,2020,10,October,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.03077E+11
213,2020-10-01T00:00:00,2020,10,October,87,ยานยนต์และส่วนประกอบ,69513804021
214,2020-10-01T00:00:00,2020,10,October,40,ยางและของทำด้วยยาง,46421120861
215,2020-10-01T00:00:00,2020,10,October,39,พลาสติกและของที่ทำด้วยพลาสติก,33613947838
216,2020-10-01T00:00:00,2020,10,October,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,23822073387
217,2020-10-01T00:00:00,2020,10,October,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,11914790130
218,2020-10-01T00:00:00,2020,10,October,16,ของปรุงแต่งจากสัตว์น้ำ เช่น ปลา กุ้ง,18539777571
219,2020-10-01T00:00:00,2020,10,October,90,"เครื่องมือและอุปกรณ์ที่ใช้ในทางทัศนศาสตร์,การแพทย์,การถ่ายรูป,การวัด,การตรวจสอบ",13020711342
220,2020-10-01T00:00:00,2020,10,October,29,เคมีภัณฑ์อินทรีย์,8550852440
221,2020-10-01T00:00:00,2020,10,October,73,ของทำด้วยเหล็กหรือเหล็กกล้า,10284325855
222,2020-10-01T00:00:00,2020,10,October,10,ธัญพืช,8665356564
223,2020-10-01T00:00:00,2020,10,October,8,ผลไม้และลูกนัตที่บริโภคได้,6904266879
224,2020-10-01T00:00:00,2020,10,October,74,ทองแดงและชองทำด้วยทองแดง,6423271459
225,2020-10-01T00:00:00,2020,10,October,21,ของปรุงแต่งเบ็ดเตล็ดที่บริโภคได้,7028600060
226,2020-09-01T00:00:00,2020,9,September,84,เครื่องจักร เครื่องใช้กล และส่วนประกอบ,1.05438E+11
227,2020-09-01T00:00:00,2020,9,September,85,เครื่องจักรไฟฟ้า เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบ,1.01454E+11
228,2020-09-01T00:00:00,2020,9,September,87,ยานยนต์และส่วนประกอบ,71083673636
229,2020-09-01T00:00:00,2020,9,September,40,ยางและของทำด้วยยาง,41583443405
230,2020-09-01T00:00:00,2020,9,September,39,พลาสติกและของที่ทำด้วยพลาสติก,32941772676
231,2020-09-01T00:00:00,2020,9,September,71,อัญมณี ไข่มุก เครื่องประดับ และโลหะมีค่า,28725529208
232,2020-09-01T00:00:00,2020,9,September,27,เชื้อเพลิงที่ได้จากแร่ น้ำมันแร่ และผลิตภัณฑ์,13664751824
